country;2022;
Afghanistan;0.284;
Angola;1.23;
Albania;2.1;
Andorra;5.91;
UAE;21.1;
Argentina;3.85;
Armenia;2.7;
Antigua and Barbuda;5.94;
Australia;13.9;
Austria;9.2;
Azerbaijan;3.84;
Burundi;0.051;
Belgium;16.9;
Benin;0.71;
Burkina Faso;0.306;
Bangladesh;0.844;
Bulgaria;5.82;
Bahrain;16;
Bahamas;4.75;
Bosnia and Herzegovina;6.45;
Belarus;6.32;
Belize;1.52;
Bolivia;1.99;
Brazil;2.11;
Barbados;4.52;
Brunei;24.5;
Bhutan;1.8;
Botswana;5.1;
Central African Republic;0.071;
Canada;13.2;
Switzerland;11.6;
Chile;4.54;
China;7.38;
Cote d'Ivoire;0.596;
Cameroon;0.408;
Congo;0.026;0.026
Congo;0.66;0.674
Colombia;2.39;
Comoros;0.287;
Cape Verde;1.26;
Costa Rica;2.38;
Cuba;2.55;
Cyprus;5.62;
Czech Republic;9.84;
Germany;9.3;
Djibouti;0.734;
Dominica;2.57;
Denmark;7.68;
Dominican Republic;3.11;
Algeria;3.88;
Ecuador;2.7;
Egypt;2.4;
Eritrea;0.234;
Spain;5.66;
Estonia;10.4;
Ethiopia;0.188;
Finland;8.76;
Fiji;2.6;
France;6.07;
Micronesia;1.42;1.45
Gabon;2.76;
UK;6.93;
Georgia;3.77;
Ghana;0.773;
Guinea;0.472;
Gambia;0.293;
Guinea-Bissau;0.198;
Equatorial Guinea;4.75;
Greece;5.27;
Grenada;2.45;
Guatemala;1.34;
Guyana;3.15;
Hong Kong;10;10.2
Honduras;0.876;
Croatia;5.94;
Haiti;0.272;
Hungary;6.41;
Indonesia;2.36;
India;1.87;
Ireland;8.59;
Iran;7.67;
Iraq;5.76;
Iceland;9.99;
Israel;8.6;
Italy;6.92;
Jamaica;2.43;
Jordan;2.9;
Japan;9.99;
Kazakhstan;9.66;
Kenya;0.562;
Kyrgyz Republic;2.81;
Cambodia;2.55;
Kiribati;0.65;
St. Kitts and Nevis;4.66;
South Korea;13.5;
Kuwait;24;
Lao;3.3;
Lebanon;3.92;
Liberia;0.354;
Libya;8.84;
St. Lucia;2.34;
Liechtenstein;3.89;
Sri Lanka;1.76;
Lesotho;1.38;
Lithuania;7.21;
Luxembourg;12.7;
Latvia;7.57;
Morocco;2;
Moldova;1.25;
Madagascar;0.209;
Maldives;3.31;
Mexico;3.64;
Marshall Islands;2.79;
North Macedonia;3.51;
Mali;0.204;
Malta;17.3;
Myanmar;0.549;
Montenegro;3.17;
Mongolia;14.2;
Mozambique;0.456;
Mauritania;0.661;
Mauritius;4.88;
Malawi;0.139;
Malaysia;7.5;
Namibia;3.97;
Niger;0.113;
Nigeria;0.692;
Nicaragua;0.944;
Netherlands;8.77;
Norway;8.72;
Nepal;0.922;
Nauru;5.09;
New Zealand;7.51;
Oman;14.9;
Pakistan;1.1;
Panama;4.02;
Peru;2.01;
Philippines;1.61;
Palau;14.2;
Papua New Guinea;0.986;
Poland;8.01;
North Korea;1.32;
Portugal;4.6;
Paraguay;2;
Palestine;0.733;
Qatar;27.3;
Romania;4.36;
Russia;9.97;
Rwanda;0.179;
Saudi Arabia;18.4;
Sudan;0.55;
Senegal;1.02;
Singapore;25.4;
Solomon Islands;0.295;
Sierra Leone;0.154;
El Salvador;1.47;
Somalia;0.051;
Serbia;5.11;
South Sudan;0.186;
Sao Tome and Principe;0.641;
Suriname;3.39;
Slovak Republic;7.37;
Slovenia;8.46;
Sweden;5.96;
Eswatini;1.15;
Seychelles;7.38;
Syria;1.85;
Chad;0.072;
Togo;0.906;
Thailand;3.92;
Tajikistan;1.47;
Turkmenistan;15.5;
Timor-Leste;0.461;
Tonga;1.42;
Trinidad and Tobago;17.7;
Tunisia;2.26;
Turkey;4.95;
Tuvalu;1.09;
Taiwan;12.5;
Tanzania;0.311;
Uganda;0.183;
Ukraine;4.35;
Uruguay;3.21;
USA;16.4;
Uzbekistan;2.8;
St. Vincent and the Grenadines;2.05;
Venezuela;0.673;
Vietnam;2.17;
Vanuatu;0.572;
Samoa;1.43;
Yemen;0.395;
South Africa;5.18;
Zambia;0.424;
Zimbabwe;0.804;
